corp_code,corp_name,stock_code,start_date,end_date,filings,processed_filings,skipped_filings,match_count,matched_filing_count,total_count,has_backlog_keyword,has_backlog_total,latest_total_period,latest_total_eok,status
01201970,셀레스트라,352770,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01448544,셀로맥스사이언스,471820,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01182444,셀리버리,268600,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01047451,셀바스헬스케어,208370,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01275489,셀비온,308430,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01117918,셀젠텍,258250,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00162577,셀텍,019260,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00413046,셀트리온,068270,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00541349,셀트리온제약,068760,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00554024,셀트리온헬스케어,091990,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00142591,셰프라인,012250,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00104810,소노스퀘어,007720,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00352718,소리바다,053110,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01442115,소마젠,950200,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00134909,소예,035010,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00656340,소프트캠프,210610,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01182408,소프트캠프,258790,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00306870,손오공,066910,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00189343,솔로몬저축은행,007800,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01412822,솔루스첨단소재,336370,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01159233,솔루엠,248070,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
